tweet_text,tweet_length_word_count,tweet_length_char_count,sentiment_score,question_ratio,first_person_ratio,complex_word_ratio,connector_count,metaphor_count,analogy_count,hashtag_count,keywords_count,tone
"RT @elonmusk: Congratulations to the @SpaceX and @NASA teams for another safe astronaut return!

Thank you to @POTUS for prioritizing this…",27,139,0.625,0.0,0.0,0.07407407407407407,0,0,0,0,0,neutral
"RT @elonmusk: Merry Christmas and may you have a wonderful New Year! 🎁🎄🎅 

 https://t.co/BNg7Mk5Dnd",19,99,0.5852272727272727,0.0,0.0,0.05263157894736842,0,0,0,0,0,neutral
RT @Wisdom_HQ: 11. https://t.co/G6Rh3wTk6u,8,42,0.0,0.0,0.0,0.125,0,0,0,0,0,neutral
"RT @Wisdom_HQ: 15 Visuals about Psychology and Life:

1. https://t.co/Qh2KOmuqOK",15,80,0.0,0.0,0.0,0.06666666666666667,0,0,0,0,0,neutral
RT @Wisdom_HQ: 2. https://t.co/a4y5zLikuB,8,41,0.0,0.0,0.0,0.125,0,0,0,0,0,neutral
be one : ) https://t.co/LPLDAm2PsH,7,34,0.5,0.0,0.0,0.14285714285714285,0,0,0,0,0,neutral
RT @strongminded101: 8. https://t.co/rfqibI6LBc,8,47,0.0,0.0,0.0,0.25,0,0,0,0,0,neutral
"RT @nealtaparia: 12 companies started by teenagers:

1. Facebook – Mark Zuckerberg (age 19) https://t.co/PfhHPcr5Ln",23,115,0.0,0.0,0.0,0.08695652173913043,0,0,0,0,0,neutral
"RT @Rana_kamran43: Do you think your boss is scary?

Look at the brutal emails from the CEOs of Microsoft, Apple, Tesla and Facebook: https…",30,140,-0.6875,0.5,0.0,0.03333333333333333,0,0,0,0,0,reflective
@render I learned/deploy my @nextjs  app which uses the @strapijs with @PostgreSQL db. You guys have everything in the place. #read #think #code #deploy 🚀,35,154,0.0,0.0,0.02857142857142857,0.02857142857142857,0,0,0,4,0,reflective
"RT @JonErlichman: Estimated number of internet users worldwide:

2024:  5.5 billion 

2014:   2.8 billion 

2004: 913 million

1994:   20 m…",27,140,0.0,0.0,0.0,0.037037037037037035,0,0,0,0,0,neutral
RT @neuronpowers: Four reminders for when you get caught in overthinking https://t.co/UU4EpfF5B0,16,96,0.0,0.0,0.0,0.1875,0,0,0,0,0,reflective
"RT @levelsio: Maybe dumb question

But if business class is so profitable

Why don't airlines make only business class planes?

Not enough…",26,139,-0.1875,0.5,0.0,0.0,2,0,0,0,0,neutral
"RT @NavalismHQ: If the work doesn’t require creativity, delegate it, automate it, or leave it.

@naval",25,102,0.0,0.0,0.0,0.0,0,0,0,0,0,neutral
@PhilosophyMonk Read it again : even if for just 10 min.,13,56,0.0,0.0,0.0,0.07692307692307693,0,0,0,0,0,philosophical
"RT @PhilosophyMonk: 10 Simple Habits to Maximize Your QUALITY OF LIFE...

1. The 1% rule https://t.co/OdOUMWOTUh",23,112,0.0,0.0,0.0,0.08695652173913043,0,0,0,0,0,philosophical
"RT @NanouuSymeon: As a Developer, do you use ChatGPT daily?",14,59,0.0,1.0,0.0,0.07142857142857142,0,0,0,0,0,neutral
RT @PsycheWizard: https://t.co/mwxtwONM3L,7,41,0.0,0.0,0.0,0.2857142857142857,0,0,0,0,0,neutral
"@ShohanUIX @YouTube Thank you, yes it does sparked some inspiration. My takeaway was there are some problems that are well known but we don’t go after them because of lack of domain knowledge in that specific area and it’s hard to get around to resolve it due to complexity of it. It’s opportunity.",65,298,-0.1388888888888889,0.0,0.015384615384615385,0.03076923076923077,1,0,0,0,0,neutral
RT @benln: Paul Graham on how to raise money: https://t.co/PjDHmVIvY0,15,69,0.0,0.0,0.0,0.06666666666666667,0,0,0,0,0,neutral
"How to Get and Evaluate Startup Ideas | Startup School https://t.co/W3AirYkUcH via @YouTube

#read #think #code",22,111,0.0,0.0,0.0,0.045454545454545456,0,0,0,3,2,reflective
#DEVFESTAHM https://t.co/SRy9OSTixM,5,35,0.0,0.0,0.0,0.2,0,0,0,1,0,neutral
"RT @GDGAhmedabad: [#DevFestAhm Speaker Announcement #30 – Harsh Dattani]
Excited to welcome @dattaniharsh , Program Manager, Developer Rela…",26,140,0.05625000000000002,0.0,0.0,0.11538461538461539,0,0,0,2,0,neutral
"https://t.co/81pJxHgPcO

#read #think #code",9,43,0.0,0.0,0.0,0.1111111111111111,0,0,0,3,0,reflective
"RT @yegordb: I’m at Stanford and I research software engineering productivity. 

We have data on the performance of &gt;50k engineers from 100…",30,143,0.0,0.0,0.1,0.1,0,0,0,0,0,neutral
"https://t.co/QdYIaVPMC1

#read #think #code  #flowState",11,55,0.0,0.0,0.0,0.09090909090909091,0,0,0,4,0,reflective
RT @TataCompanies: https://t.co/QmtipQIovR,7,42,0.0,0.0,0.0,0.2857142857142857,0,0,0,0,0,neutral
"RT @AlexBelogubov: 4 Years, 26 Projects, $115k: Lessons from an Indie Hacker 👇",19,78,0.0,0.0,0.0,0.05263157894736842,0,0,0,0,0,neutral
